"No.","Time","Source","Destination","Protocol","Length","Info"
"133","7.886786","142.250.193.142","192.168.31.102","QUIC","163","Protected Payload (KP0)"
"134","7.886786","142.250.193.142","192.168.31.102","QUIC","65","Protected Payload (KP0)"
"135","7.886786","142.250.193.142","192.168.31.102","TCP","54","443  >  53121 [ACK] Seq=1 Ack=1283 Win=268544 Len=0"
"136","7.886786","142.250.193.142","192.168.31.102","TCP","54","443  >  53121 [ACK] Seq=1 Ack=1791 Win=268288 Len=0"
"137","7.887062","192.168.31.102","142.250.193.142","QUIC","216","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"138","7.887160","192.168.31.102","142.250.193.142","QUIC","1292","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"139","7.887248","142.250.193.142","192.168.31.102","TLSv1.3","1316","Server Hello, Change Cipher Spec"
"140","7.887248","142.250.193.142","192.168.31.102","TCP","377","[TCP Previous segment not captured] 443  >  53121 [PSH, ACK] Seq=7573 Ack=1791 Win=268288 Len=323 [TCP PDU reassembled in 150]"
"141","7.887252","192.168.31.102","142.250.193.142","QUIC","1292","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"142","7.887248","142.250.193.142","192.168.31.102","TCP","1316","[TCP Out-Of-Order] 443  >  53121 [PSH, ACK] Seq=1263 Ack=1791 Win=268288 Len=1262 [TCP PDU reassembled in 150]"
"143","7.887248","142.250.193.142","192.168.31.102","TCP","1316","[TCP Out-Of-Order] 443  >  53121 [ACK] Seq=2525 Ack=1791 Win=268288 Len=1262 [TCP PDU reassembled in 150]"
"144","7.887321","192.168.31.102","142.250.193.142","TCP","66","53121  >  443 [ACK] Seq=1791 Ack=1263 Win=64256 Len=0 SLE=7573 SRE=7896"
"145","7.887325","192.168.31.102","142.250.193.142","QUIC","77","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"146","7.887352","192.168.31.102","142.250.193.142","TCP","66","53121  >  443 [ACK] Seq=1791 Ack=3787 Win=65280 Len=0 SLE=7573 SRE=7896"
"147","7.887375","192.168.31.102","142.250.193.142","QUIC","77","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"148","7.901091","142.250.193.142","192.168.31.102","TCP","1316","[TCP Out-Of-Order] 443  >  53121 [PSH, ACK] Seq=3787 Ack=1791 Win=268288 Len=1262 [TCP PDU reassembled in 150]"
"149","7.901091","142.250.193.142","192.168.31.102","TCP","1316","[TCP Out-Of-Order] 443  >  53121 [ACK] Seq=5049 Ack=1791 Win=268288 Len=1262 [TCP PDU reassembled in 150]"
"150","7.901091","142.250.193.142","192.168.31.102","TCP","1316","[TCP Out-Of-Order] 443  >  53121 [PSH, ACK] Seq=6311 Ack=1791 Win=268288 Len=1262"
"151","7.901091","142.250.193.142","192.168.31.102","QUIC","67","Protected Payload (KP0)"
"152","7.901091","142.250.193.142","192.168.31.102","QUIC","67","Protected Payload (KP0)"
"153","7.901091","142.250.193.142","192.168.31.102","QUIC","69","Protected Payload (KP0)"
"154","7.901175","192.168.31.102","142.250.193.142","TCP","54","53121  >  443 [ACK] Seq=1791 Ack=7896 Win=65280 Len=0"
"155","7.901601","192.168.31.102","142.250.193.142","TLSv1.3","128","Change Cipher Spec, Application Data"
"156","7.910245","142.251.43.170","192.168.31.102","QUIC","66","Protected Payload (KP0)"
"157","7.930864","192.168.31.102","142.250.193.142","QUIC","76","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"158","7.967144","142.250.193.142","192.168.31.102","QUIC","67","Protected Payload (KP0)"
"159","7.967144","142.250.193.142","192.168.31.102","QUIC","71","Protected Payload (KP0)"
